Item Name,Item Type,Item Sub Type,Quantity, Unit measure,Cost per unit,Total amount paid,MRP,Date,Shop Address,Shopper Name,In-Store,Card Used,Item returned
Cat & Jack,Apperal,Clothes,1,NA,NA,$6.00,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$6.00,,,,,,,
All in Motion,Apperal,Shoes,1,NA,NA,$10.00,$20.00,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$1.49,$4.99,,,,,,
MCCORMICK,,,,,,,,,,,,,
Health&Beauty,,,,,,,,,,,,,
art class,,,,,,,,,,,,,
Cat & Jack,,,,,,,,,,,,,
Cat & Jack,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tax : ,,,,,,$10.25,,,,,,,
,,,,,,,,,,,,,
Sooji Coarse,Grocery,Wheat,2,lb,NA,$2.99,,03/14/2025,Coconut Hill,Hermione Granger,Yes,citi bank,No
Apple Red,Grocery,Fruit,4.93,lb,$1.29,$6.36,,03/14/2025,Coconut Hill,Hermione Granger,Yes,citi bank,No
Cilantro,Grocery,Herb,2,bunches,$0.29,$0.58,,03/14/2025,Coconut Hill,Hermione Granger,Yes,citi bank,No
Pooja Item,House Improvment, Pooja item,2,NA,$0.99,$1.98,,03/14/2025,Coconut Hill,Hermione Granger,Yes,citi bank,No
Tax : ,,,,,,$0.20,,,,,,,
